journal1,journal2,weight
Journal of Biological Chemistry,Molecular Biology of the Cell,345
Journal of Geophysical Research,Nature,344
Journal of Cell Science,PNAS,344
Genome Research,Genomics,344
Cell,J Cell Biol,342
American Journal of Human Genetics,Science,340
FEBS Lett,Nat Genet,340
Physical Review B,Physical Review Letters,338
Molecular and Cellular Biology,Oncogene,338
Biochemical and Biophysical Research Communications,Molecular and Cellular Biology,337
Journal of Biological Chemistry,Proc Natl Acad Sci U S A,337
Biochimica et Biophysica Acta,Cell,335
Astrophysical Journal,The Astrophysical Journal,334
Journal of Biological Chemistry,Nat Biotechnol,334
Geology,Nature,333
Journal of Vertebrate Paleontology,Palaeontology,333
Icarus,Science,332
Nucleic Acids Research,PLoS ONE,331
Journal of Immunology,Nature,331
Biochemistry,Gene,331
Nature Genetics,PLoS ONE,330
Genome Biol,Nature,330
Geology,Science,330
Hum Mol Genet,Nature,329
Acta Palaeontologica Polonica,Journal of Vertebrate Paleontology,326
Science,The Journal of Neuroscience,326
BMC Evolutionary Biology,Nature,326
BMC Evolutionary Biology,PLoS ONE,325
Nature Medicine,PNAS,325
Journal of Molecular Biology,Nucleic Acids Research,324
Am J Hum Genet,Nature,323
Journal of Bacteriology,PNAS,323
Journal of Virology,Nature,323
Genome Res,Mol Biol Cell,323
Cell,Journal of Molecular Biology,322
Nat Genet,Oncogene,322
Nat Cell Biol,PNAS,321
Nature,Nature Neuroscience,321
Mol Cell Biol,Nucleic Acids Res,321
BioEssays,PNAS,321
Genome Res,Mol Syst Biol,320
Annals of the New York Academy of Sciences,PNAS,319
Molecular Phylogenetics and Evolution,PLoS ONE,319
BMC Evolutionary Biology,PNAS,319
Molecular Biology and Evolution,PLoS ONE,318
JAMA,The Cochrane Database of Systematic Reviews,318
Cell,Nature Communications,318
PLoS ONE,PeerJ,316
American Journal of Human Genetics,Nature Genetics,316
Mycologia,Mycotaxon,315
PNAS,Virology,315
Genes Dev,Mol Cell Biol,315
Mol Biol Cell,Nature,315
Genomics,Nucleic Acids Res,315
The Cochrane Database of Systematic Reviews,The New England Journal of Medicine,314
Icarus,Nature,314
J Neurosci,PNAS,313
J Cell Sci,Nature,313
EMBO J,Oncogene,312
Gene,Genome Research,312
Nature,The Journal of Clinical Investigation,312
Genomics,Molecular and Cellular Biology,312
EMBO Rep,PNAS,311
Biology Letters,Nature,310
Genome Biology,PNAS,310
J Virol,PNAS,310
Cell,DNA Res,310
Genes  Development,Molecular and Cellular Biology,310
Rolling Stone,Spin,309
Journal of Biological Chemistry,Nature Communications,309
Nature,Nature Reviews Genetics,308
Nature Medicine,Science,308
Biochemical and Biophysical Research Communications,Biochim Biophys Acta,308
Annals of the New York Academy of Sciences,Nature,307
PNAS,Scientific American,307
Nature Biotechnology,Science,307
Cell,FEBS Lett,306
Cell,Human Molecular Genetics,306
JAMA,The New England Journal of Medicine,305
Cell,Development,305
Cancer Research,Science,305
FEBS Letters,Genomics,304
Journal of Vertebrate Paleontology,Science,304
Evolution,Science,304
Am J Hum Genet,Genome Res,304
Nature,PLOS Biology,304
Human Molecular Genetics,Nature Genetics,303
Cancer Research,Cell,302
Journal of Cell Science,Nature,302
J Clin Invest,Journal of Biological Chemistry,301
Q,Rolling Stone,300
Astrophysical Journal,Monthly Notices of the Royal Astronomical Society,300
Science,The Journal of Cell Biology,300
Genome Research,PLoS ONE,299
Biochemistry,Genome Res,299
Human Genetics,PNAS,299
Archives of Biochemistry and Biophysics,Journal of Biological Chemistry,299
Journal of Biological Chemistry,Nature Cell Biology,298
Mol Cell,Mol Cell Biol,298
The Astrophysical Journal,The Astrophysical Journal Letters,298
Evolution,Nature,297
Endocrinology,Journal of Biological Chemistry,297
Blood,Genomics,296
Physical Review D,Physical Review Letters,295
Chemical Reviews,Journal of the American Chemical Society,295
EMBO J,Gene,295
Journal of Biological Chemistry,Nat Cell Biol,294
BMJ,Nature,294
Development,Journal of Biological Chemistry,293
Nature,eLife,293
BioEssays,Nature,293
NME,Rolling Stone,293
Endocrinology,PNAS,292
Genomics,The EMBO Journal,292
BMC Evolutionary Biology,Science,292
J Clin Invest,PNAS,291
Annals of Internal Medicine,Lancet,291
Acta Palaeontologica Polonica,PLoS ONE,291
Biology Letters,Science,290
Curr Biol,Genome Res,290
J Virol,Journal of Biological Chemistry,290
Astronomy and Astrophysics,Astrophysical Journal,290
Earth and Planetary Science Letters,Nature,289
Journal of Biological Chemistry,The Journal of Neuroscience,289
Biochim Biophys Acta,Genomics,289
Journal of Paleontology,Journal of Vertebrate Paleontology,288
EMBO Rep,Genome Res,288
Nature Neuroscience,PNAS,288
Fauna of New Zealand,Transactions and Proceedings of the New Zealand Institute,288
Cancer Res,Genome Res,288
Biology Letters,PLoS ONE,287
Annals of the New York Academy of Sciences,Science,287
Neuron,The Journal of Neuroscience,287
PLoS ONE,Zoological Journal of the Linnean Society,286
Evolution,PNAS,286
Genomics,Hum Mol Genet,285
Biochemistry,Biochimica et Biophysica Acta,285
Nature Cell Biology,PNAS,284
Nature,Nature Reviews Molecular Cell Biology,283
FEBS Lett,Gene,283
Cell,Genome Biology,283
Molecular Cell,Molecular and Cellular Biology,283
Journal of Biological Chemistry,Journal of Virology,283
BioEssays,Science,283
Nature Reviews Genetics,Science,283
American Journal of Human Genetics,PLoS ONE,282
Nature,Nature Cell Biology,281
Biochemistry,FEBS Letters,281
FEBS Lett,The Biochemical Journal,280
Genome Res,J Cell Sci,279
Exp Cell Res,PNAS,279
Astronomy and Astrophysics,Nature,279
Genomics,Nature Genetics,279
Journal of Bacteriology,Journal of Biological Chemistry,278
BMC Genomics,PNAS,277
Gene,Nucleic Acids Res,277
Journal of Mammalogy,Mammalian Species,277
Journal of Biological Chemistry,Mol Syst Biol,276
Cochrane Database of Systematic Reviews,The Cochrane Database of Systematic Reviews,276
Arch Biochem Biophys,Journal of Biological Chemistry,276
J Neurosci,Journal of Biological Chemistry,276
Lancet,N Engl J Med,275
BMJ,PLoS ONE,275
Cell,Curr Biol,275
Nature Neuroscience,Science,275
Astronomy and Astrophysics,CDSADC Collection of Electronic Catalogues,274
PLOS Biology,Science,274
Molecular Cell,The EMBO Journal,274
Development,Science,273
Biochemical and Biophysical Research Communications,Genome Research,273
PNAS,eLife,273
JAMA,Nature,273
Nat Genet,The Biochemical Journal,272
Immunity,PNAS,272
EMBO J,FEBS Lett,272
EMBO J,Nucleic Acids Res,272
EMBO J,Mol Cell,272
Cell,Nature Cell Biology,272
Publications of the Astronomical Society of the Pacific,The Astrophysical Journal,271
PLoS ONE,The New England Journal of Medicine,271
Nature Reviews Genetics,PNAS,271
Oncogene,The Biochemical Journal,271
Journal of Systematic Palaeontology,Journal of Vertebrate Paleontology,270
Molecular Biology of the Cell,PNAS,270
Gene,PLoS ONE,270
Journal of Virology,Science,270
Biochimica et Biophysica Acta,FEBS Letters,270
Biochemistry,PLoS ONE,269
FEBS Letters,The EMBO Journal,269
Cell,Journal of Cell Science,269
Genome Res,Proc Natl Acad Sci U S A,269
Genome Research,Nature Genetics,269
Human Genetics,Journal of Biological Chemistry,268
Human Molecular Genetics,Science,268
Science,eLife,268
Cell,Nat Biotechnol,268
PLOS Biology,PNAS,267
J Immunol,Nature,267
Nature,Structure,267
Nature,Proceedings of the Royal Society B,266
Biology Letters,PNAS,266
PLoS ONE,Zootaxa,266
JAMA,Science,266
Hum Genet,Journal of Biological Chemistry,265
Blood,Oncogene,265
BMJ,The New England Journal of Medicine,265
Genome Res,J Mol Biol,265
Molecular Phylogenetics and Evolution,PNAS,264
Cancer Research,Oncogene,264
Journal of Paleontology,Palaeontology,264
Nature,Nature Reviews Neuroscience,262
Journal of Personality and Social Psychology,Psychological Bulletin,261
Molecular Biology of the Cell,Nature,261
European Journal of Biochemistry,Journal of Biological Chemistry,261
Biochemistry,Journal of Molecular Biology,261
Human Genetics,Nature,260
Physical Review,Physical Review Letters,260
Nat Biotechnol,Nat Genet,260
Genome Res,Mol Cell,260
Nature,Science Advances,259
FASEB Journal,Journal of Biological Chemistry,259
Animal Behaviour,Behavioral Ecology and Sociobiology,259
Science,Science Advances,258
Earth and Planetary Science Letters,Science,258
Journal of Biological Chemistry,Scientific Reports,257
Physical Review Letters,Reviews of Modern Physics,257
Astronomy  Astrophysics,Nature,257
Cell,J Mol Biol,257
Billboard,Rolling Stone,257
Cancer Res,Oncogene,257
Biographical Memoirs of Fellows of the Royal Society,Nature,257
Cell,Nature Reviews Molecular Cell Biology,257
Animal Behaviour,Nature,257
Nature,The Astronomical Journal,256
Biochemical and Biophysical Research Communications,Nature Genetics,255
J Neurosci,Nature,255
Current Biology,Nature Communications,255
Nature,Palaeontology,254
The EMBO Journal,The Journal of Cell Biology,254
Exp Cell Res,Journal of Biological Chemistry,254
Cretaceous Research,PLoS ONE,254
FEBS Lett,Mol Cell Biol,254
J Am Chem Soc,Journal of the American Chemical Society,253
The Astrophysical Journal,The Astrophysical Journal Supplement Series,253
Genes  Development,The EMBO Journal,253
Immunity,Journal of Biological Chemistry,252
Genomics,PLoS ONE,252
Genes Dev,Science,252
BioScience,Science,252
Genomics,Nucleic Acids Research,252
Acta Palaeontologica Polonica,Nature,251
EMBO Reports,Nature,251
American Journal of Human Genetics,Cell,250
Annual Review of Biochemistry,Journal of Biological Chemistry,250
Cytogenet Cell Genet,Genome Res,250
Nature,Nature Geoscience,249
Cell,Genetics,249
Journal of Biological Chemistry,Nature Biotechnology,249
BMJ,Science,249
Nature Geoscience,Science,249
Proc Natl Acad Sci U S A,Science,249
Nature,Naturwissenschaften,249
PNAS,RNA,249
Genome Biol,PNAS,249
Science,The American Naturalist,249
JAMA,PLoS ONE,248
Annals of Internal Medicine,JAMA,248
Lancet,Pediatrics,248
Genes Dev,Genome Res,248
PNAS,Physical Review Letters,248
Cretaceous Research,Journal of Vertebrate Paleontology,248
Biochemical and Biophysical Research Communications,Cancer Res,248
FEBS Letters,The Biochemical Journal,247
Nature,The American Naturalist,247
EMBO Reports,PNAS,247
American Journal of Human Genetics,Human Molecular Genetics,247
Biochimica et Biophysica Acta,The Biochemical Journal,246
J Cell Biol,Nat Genet,246
Journal of Biological Chemistry,Nature Medicine,246
Nature Reviews Molecular Cell Biology,Science,245
Journal of Vertebrate Paleontology,PeerJ,245
Journal of Cell Science,The Journal of Cell Biology,245
Genomics,Human Molecular Genetics,245
BMC Genomics,Nature,244
Geophysical Research Letters,Journal of Geophysical Research,243
Journal of Paleontology,Nature,243
PLoS ONE,The Cochrane Database of Systematic Reviews,243
FEBS Letters,Molecular and Cellular Biology,243
Nature,PLoS Biology,243
Nature Neuroscience,Neuron,243
Cancer Res,Cell,243
British Medical Journal,Lancet,242
Oncogene,PLoS ONE,242
Gene,Nucleic Acids Research,242
Genome Biology,Science,242
Biochemical and Biophysical Research Communications,Nucleic Acids Res,242
Nature,New Scientist,242
Biochemistry,Biochim Biophys Acta,242
Biochemical and Biophysical Research Communications,J Cell Biol,242
Annual Review of Biochemistry,Nature,242
FEBS Lett,Science,242
Nature,Palaeogeography Palaeoclimatology Palaeoecology,242
Journal of Biological Chemistry,The Journal of Experimental Medicine,242
Animal Behaviour,Science,241
Genome Research,Molecular and Cellular Biology,240
PLoS ONE,Palaeontology,240
Circulation,Journal of Biological Chemistry,240
Journal of Biological Chemistry,Lancet,240
Cell,Molecular Biology of the Cell,239
Annual Review of Biochemistry,PNAS,239
Eur J Biochem,Nature,239
Nature Reviews Neuroscience,Science,238
Nature,Zoological Journal of the Linnean Society,238
Experimental Cell Research,Journal of Biological Chemistry,237
Immunity,Nature,237
Journal of Theoretical Biology,Nature,237
Science,The Journal of Clinical Investigation,237
Oncogene,The EMBO Journal,237
Botanical Journal of the Linnean Society,Phytotaxa,237
J Cell Biol,Science,237
Cell,Nature Medicine,236
Physical Review A,Physical Review Letters,236
New England Journal of Medicine,Science,236
Mol Syst Biol,Nature,236
Biochemical and Biophysical Research Communications,Nucleic Acids Research,236
Biochemistry,FEBS Lett,235
PNAS,The Journal of Experimental Medicine,235
JAMA,New England Journal of Medicine,235
Mol Cell Proteomics,PNAS,235
Cell,Nature Biotechnology,235
FEBS Letters,PLoS ONE,235
Nature Genetics,Nucleic Acids Research,234
PLoS Biology,Science,234
Gene,Molecular and Cellular Biology,234
EMBO J,Genes Dev,233
Entertainment Weekly,Spin,233
Am J Hum Genet,Genomics,233
Nature,PeerJ,233
Biochim Biophys Acta,The Biochemical Journal,232
