,journal1,journal2,weight
355,Journal of Biological Chemistry,Proc Natl Acad Sci U S A,337
356,Biochimica et Biophysica Acta,Cell,335
357,Astrophysical Journal,The Astrophysical Journal,334
358,Journal of Biological Chemistry,Nat Biotechnol,334
359,Geology,Nature,333
360,Journal of Vertebrate Paleontology,Palaeontology,333
361,Icarus,Science,332
362,Nucleic Acids Research,PLoS ONE,331
363,Journal of Immunology,Nature,331
364,Biochemistry,Gene,331
365,Nature Genetics,PLoS ONE,330
366,Genome Biol,Nature,330
367,Geology,Science,330
368,Hum Mol Genet,Nature,329
369,Acta Palaeontologica Polonica,Journal of Vertebrate Paleontology,326
370,Science,The Journal of Neuroscience,326
371,BMC Evolutionary Biology,Nature,326
372,BMC Evolutionary Biology,PLoS ONE,325
373,Nature Medicine,PNAS,325
374,Journal of Molecular Biology,Nucleic Acids Research,324
375,Am J Hum Genet,Nature,323
376,Journal of Bacteriology,PNAS,323
377,Journal of Virology,Nature,323
378,Genome Res,Mol Biol Cell,323
379,Cell,Journal of Molecular Biology,322
380,Nat Genet,Oncogene,322
381,Nat Cell Biol,PNAS,321
382,Nature,Nature Neuroscience,321
383,Mol Cell Biol,Nucleic Acids Res,321
384,BioEssays,PNAS,321
385,Genome Res,Mol Syst Biol,320
386,Annals of the New York Academy of Sciences,PNAS,319
387,Molecular Phylogenetics and Evolution,PLoS ONE,319
388,BMC Evolutionary Biology,PNAS,319
389,Molecular Biology and Evolution,PLoS ONE,318
390,JAMA,The Cochrane Database of Systematic Reviews,318
391,Cell,Nature Communications,318
392,PLoS ONE,PeerJ,316
393,American Journal of Human Genetics,Nature Genetics,316
394,Mycologia,Mycotaxon,315
395,PNAS,Virology,315
396,Genes Dev,Mol Cell Biol,315
397,Mol Biol Cell,Nature,315
398,Genomics,Nucleic Acids Res,315
399,The Cochrane Database of Systematic Reviews,The New England Journal of Medicine,314
400,Icarus,Nature,314
401,J Neurosci,PNAS,313
402,J Cell Sci,Nature,313
403,EMBO J,Oncogene,312
404,Gene,Genome Research,312
405,Nature,The Journal of Clinical Investigation,312
406,Genomics,Molecular and Cellular Biology,312
407,EMBO Rep,PNAS,311
408,Biology Letters,Nature,310
409,Genome Biology,PNAS,310
410,J Virol,PNAS,310
411,Cell,DNA Res,310
412,Genes  Development,Molecular and Cellular Biology,310
413,Rolling Stone,Spin,309
414,Journal of Biological Chemistry,Nature Communications,309
415,Nature,Nature Reviews Genetics,308
416,Nature Medicine,Science,308
417,Biochemical and Biophysical Research Communications,Biochim Biophys Acta,308
418,Annals of the New York Academy of Sciences,Nature,307
419,PNAS,Scientific American,307
420,Nature Biotechnology,Science,307
421,Cell,FEBS Lett,306
422,Cell,Human Molecular Genetics,306
