source,target,weight
foreign affairs,slavic review,2067
cretaceous research,papers in palaeontology,2057
journal of biological chemistry,the journal of clinical investigation,2056
febs lett,pnas,2055
journal of paleontology,proceedings of the royal society b biological sciences,2049
current biology,scientific reports,2043
canadian journal of earth sciences,journal of vertebrate paleontology,2043
international journal of plant sciences,review of palaeobotany and palynology,2038
historical biology an international journal of paleobiology,palaeontology,2034
physical review d,physics letters b,2034
science,the embo journal,2032
earth and planetary science letters,science,2030
acta palaeontologica polonica,nature,2021
historical biology an international journal of paleobiology,pnas,2019
j mol biol,journal of biological chemistry,2017
hum mol genet,journal of biological chemistry,2015
acta palaeontologica sinica,cretaceous research,2013
zoological journal of the linnean society,zootaxa,2006
nature,the journal of neuroscience,2002
palaeontologia electronica,peerj,2000
gigascience,nature genetics,1992
icarus,j geophys res,1991
historical biology an international journal of paleobiology,zoological journal of the linnean society,1988
biochemical and biophysical research communications,nature,1984
cell,gene,1982
american museum novitates,cretaceous research,1980
cell,genomics,1974
j cell biol,pnas,1970
earth and planetary science letters,nature,1970
journal of systematic palaeontology,palaeontology,1964
oncogene,science,1954
journal of virology,virology,1940
cretaceous research,geological magazine,1937
astronomy and astrophysics,astrophysical journal,1931
nature communications,palaeogeography palaeoclimatology palaeoecology,1930
journal of human evolution,journal of vertebrate paleontology,1930
historical biology an international journal of paleobiology,palaeontologia electronica,1929
journal of vertebrate paleontology,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,1917
nature biotechnology,pnas,1915
science,science advances,1913
molecular biology and evolution,plos one,1911
cretaceous research,gondwana research,1907
biochem biophys res commun,nature,1902
journal of biological chemistry,molecular endocrinology,1897
biochem biophys res commun,genome res,1896
american journal of human genetics,plos one,1894
american journal of human genetics,journal of biological chemistry,1890
nature ecology  evolution,scientific reports,1885
j geophys res,science,1878
journal of the american chemical society,the journal of organic chemistry,1876
cretaceous research,royal society open science,1875
molecular cell,science,1870
nature,palaeontology,1870
cell,nature genetics,1866
nature reviews genetics,pnas,1860
nature,the biochemical journal,1844
nucleic acids research,plos one,1841
comptes rendus palevol,journal of vertebrate paleontology,1839
genes  development,science,1839
journal of virology,nature,1837
annales zoologici,cretaceous research,1836
alcheringa an australasian journal of palaeontology,journal of paleontology,1822
biology letters,plos one,1819
journal of paleontology,palaeontologia electronica,1816
development,nature,1812
science advances,scientific reports,1809
cretaceous research,nature,1805
historical biology an international journal of paleobiology,proceedings of the royal society b biological sciences,1803
science,scientific american,1800
journal of biological chemistry,mol biol cell,1797
cell,the journal of cell biology,1796
curr biol,journal of biological chemistry,1795
nature reviews genetics,science,1795
bmc evolutionary biology,plos one,1790
american journal of botany,review of palaeobotany and palynology,1782
plos genetics,science,1777
genes  development,molecular and cellular biology,1773
journal of immunology,pnas,1771
cretaceous research,the anatomical record,1770
american journal of human genetics,european journal of human genetics,1768
journal of paleontology,science,1768
current biology,journal of vertebrate paleontology,1763
molecular and cellular biology,science,1761
gene,genomics,1758
journal of personality and social psychology,psychological bulletin,1758
lancet,pnas,1750
international journal of systematic and evolutionary microbiology,the namesforlife abstracts,1747
cancer res,pnas,1745
biochemistry,science,1744
cell,embo j,1744
bmj,jama,1742
ameghiniana,journal of vertebrate paleontology,1733
geology,palaeogeography palaeoclimatology palaeoecology,1727
palaeogeography palaeoclimatology palaeoecology,palaeontology,1723
dna res,pnas,1722
acta palaeontologica polonica,zoological journal of the linnean society,1722
nature,the journal of cell biology,1721
palaeogeography palaeoclimatology palaeoecology,proceedings of the royal society b biological sciences,1720
journal of virology,science,1717
american journal of psychiatry,the american journal of psychiatry,1715
russian history,the journal of modern history,1712
journal of paleontology,papers in palaeontology,1710
pediatrics,the cochrane database of systematic reviews,1707
nature ecology  evolution,pnas,1706
journal of the american chemical society,pnas,1705
bmc genomics,nature,1702
cretaceous research,russian entomological journal,1696
acta palaeontologica polonica,pnas,1695
plos one,vertebrata palasiatica,1694
the hollywood reporter,variety,1693
journal of biological chemistry,mol endocrinol,1690
journal of biological chemistry,the journal of neuroscience,1685
biology letters,journal of vertebrate paleontology,1685
chemical reviews,journal of the american chemical society,1682
circulation,lancet,1682
geology,journal of paleontology,1682
physical review letters,physics letters b,1680
journal of vertebrate paleontology,papers in palaeontology,1678
palaeontologia electronica,paleontological journal,1677
molecular and cellular biology,molecular cell,1669
evolution,pnas,1668
astrophysical journal,monthly notices of the royal astronomical society,1667
journal of human evolution,science advances,1663
journal of molecular biology,nucleic acids research,1659
journal of systematic palaeontology,palaeontologia electronica,1658
development,pnas,1656
neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,plos one,1654
pnas,quaternary science reviews,1643
biochemical and biophysical research communications,cell,1642
astronomy and astrophysics,nature,1641
the namesforlife abstracts,wwwuniprotorg,1641
cell,development,1641
palaeontology,pnas,1639
lpsn,the namesforlife abstracts,1636
nature communications,proceedings of the royal society b biological sciences,1631
mycologia,mycotaxon,1631
plos one,science advances,1630
american journal of physical anthropology,science,1630
cell,neuron,1630
j mol biol,pnas,1628
journal of molecular biology,science,1627
elife,nature,1626
peerj,science,1617
journal of vertebrate paleontology,the anatomical record,1617
biochimica et biophysica acta,nature,1616
plos one,the cochrane database of systematic reviews,1615
nucleic acids res,science,1614
j neurosci,journal of biological chemistry,1610
dna res,genome res,1609
astrophysical journal,nature,1609
cretaceous research,proceedings of the geologists association,1604
genome research,nucleic acids research,1602
earth and environmental science transactions of the royal society of edinburgh,zootaxa,1599
nature,nature ecology  evolution,1599
geophysical research letters,icarus,1595
febs letters,nature,1595
european journal of human genetics,plos one,1594
alcheringa an australasian journal of palaeontology,journal of systematic palaeontology,1591
gigascience,nature communications,1591
genes dev,pnas,1590
journal of biological chemistry,structure,1590
j bacteriol,pnas,1589
journal of mammalian evolution,plos one,1586
science,the journal of neuroscience,1581
arachnida u2013 rivista aracnologica italiana,cretaceous research,1579
american journal of human genetics,science,1578
cell,genome research,1577
scientific reports,the anatomical record,1575
human molecular genetics,pnas,1575
palaeogeography palaeoclimatology palaeoecology,quaternary science reviews,1570
evolution,nature,1568
annals of internal medicine,lancet,1559
publications of the astronomical society of the pacific,the astrophysical journal,1558
molecular microbiology,pnas,1558
journal of systematic palaeontology,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,1557
monthly notices of the royal astronomical society,science,1555
cancer research,nature,1553
