source,target,weight
molecular and cellular biology,journal of virology,623
cretaceous research,paleontological research,622
biographical memoirs of fellows of the royal society,obituary notices of fellows of the royal society,622
historical biology an international journal of paleobiology,quaternary science reviews,622
nature communications,nano letters,622
cell,journal of immunology,622
molecular and cellular biology,the biochemical journal,622
nature,antiquity,621
journal of biological chemistry,biophysical journal,621
journal of vertebrate paleontology,communications of the geological survey of namibia,621
scientific reports,the science of nature,620
journal of biological chemistry,journal of leukocyte biology,620
astronomy and astrophysics,cdsadc collection of electronic catalogues,620
pnas,journal of evolutionary biology,620
nature,j cell sci,618
lancet,gastroenterology,618
cell,plos biology,617
scientific reports,annales de palxe9ontologie,617
the cochrane database of systematic reviews,arthritis and rheumatism,617
febs letters,biochimica et biophysica acta,617
science,quaternary research,617
icarus,geophys res lett,616
embo j,febs lett,616
nature,dna research,615
nature communications,zoological journal of the linnean society,615
nature,the journal of chemical physics,615
plos one,forensic science international,614
palaeontology,comptes rendus palevol,614
pnas,j am chem soc,613
pnas,journal of south american earth sciences,613
biochemical and biophysical research communications,journal of immunology,613
journal of applied psychology,international journal of selection and assessment,613
pnas,philosophical transactions of the royal society b biological sciences,613
europeasia studies,the russian review,612
pnas,precambrian research,612
scientific reports,nucleic acids research,612
plos one,jama,611
peerj,journal of anatomy,610
zootaxa,caucasian entomological bulletin,610
zootaxa,acta geologica sinica english edition,609
pnas,human mutation,609
science,j cell biol,609
zootaxa,molecular phylogenetics and evolution,609
science,plos pathogens,609
pnas,analytical chemistry,608
palaeontology,lethaia,608
nature,precambrian research,608
molecular and cellular biology,human molecular genetics,608
nature,biorxiv,608
plos one,blood,608
embo j,nat genet,608
behavioral ecology and sociobiology,behavioral ecology,607
scientific reports,journal of african earth sciences,607
physical review d,physical review,607
genomics,the embo journal,606
journal of paleontology,earth and environmental science transactions of the royal society of edinburgh,606
science,brain,606
journal of biological chemistry,mol pharmacol,606
cell,developmental cell,606
physical review letters,classical and quantum gravity,606
oncogene,genes dev,605
oncogene,the journal of cell biology,605
earth and planetary science letters,quaternary science reviews,605
journal of paleontology,zookeys,604
annals of human genetics,forensic science international genetics,604
cretaceous research,fungal biology,604
physical review letters,nano letters,604
journal of biological chemistry,hum mutat,603
paleontological journal,baltic journal of coleopterology,603
the journal of cell biology,molecular cell,603
peerj,bmc evolutionary biology,603
current biology,animal behaviour,602
science,molecular phylogenetics and evolution,602
science,genome biology and evolution,602
peerj,journal of african earth sciences,601
journal of paleontology,gondwana research,601
pnas,faseb journal,601
science,microbiology and molecular biology reviews,601
paleontological journal,science advances,601
pnas,j exp med,601
pnas,journal of experimental biology,600
j cell biol,mol biol cell,600
palaeontologia electronica,comptes rendus palevol,600
review of palaeobotany and palynology,acta geologica sinica english edition,600
cell,annual review of biochemistry,600
the biochemical journal,biochimica et biophysica acta,600
folklore,journal of the anthropological institute of great britain and ireland,600
nature,the plant cell,600
pnas,naturwissenschaften,600
pnas,vertebrata palasiatica,599
mol cell biol,blood,599
cretaceous research,vestnik zoologii,599
evolution,animal behaviour,598
genomics,genome research,598
nature,papers in palaeontology,598
palaeontology,canadian journal of earth sciences,598
nature,philosophical magazine,598
gene,febs lett,598
palaeontologia electronica,vertebrata palasiatica,598
forest and stream,outing magazine,598
monthly notices of the royal astronomical society,physical review d,597
plos one,febs letters,597
american journal of human genetics,forensic science international genetics,596
alcheringa an australasian journal of palaeontology,proceedings of the royal society b biological sciences,596
aviation space and environmental medicine,journal of applied physiology,596
the biochemical journal,febs lett,596
