,journal1,journal2,weight
336,gigascience,science,2525
337,historical biology an international journal of paleobiology,journal of paleontology,2524
338,physical review,physical review,2515
339,international journal of systematic and evolutionary microbiology,lpsn,2514
340,journal of the american chemical society,nature,2507
341,j bombay nat hist soc,j bombay nat hist soc,2507
342,molecular and cellular biology,oncogene,2501
343,nat genet,nature,2498
344,genes dev,journal of biological chemistry,2489
345,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,2488
346,lancet,the new england journal of medicine,2484
347,palaeogeography palaeoclimatology palaeoecology,peerj,2475
348,international journal of systematic and evolutionary microbiology,wwwuniprotorg,2464
349,geology,nature,2461
350,journal of biological chemistry,journal of cell science,2455
351,journal of molecular biology,nature,2452
352,review of palaeobotany and palynology,review of palaeobotany and palynology,2451
353,acta palaeontologica polonica,historical biology an international journal of paleobiology,2447
354,scientific reports,zootaxa,2447
355,new scientist,new scientist,2442
356,relief society magazine,relief society magazine,2441
357,j am chem soc,j am chem soc,2441
358,nature,peerj,2430
359,slavic review,the russian review,2419
360,genome research,science,2418
361,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,zootaxa,2417
362,american journal of human genetics,pnas,2398
363,human molecular genetics,journal of biological chemistry,2390
364,astronomy  astrophysics,the astronomical journal,2388
365,plos biology,science,2386
366,scientific reports,zoological journal of the linnean society,2380
367,j cell sci,journal of biological chemistry,2379
368,american journal of physical anthropology,plos one,2379
369,the slavonic and east european review,the slavonic and east european review,2373
370,journal of biological chemistry,journal of virology,2371
371,lancet,science,2369
372,nature,new scientist,2366
373,palaeontology,paleontological journal,2362
374,nature,nucleic acids res,2357
375,slavic review,soviet studies,2356
376,nature,nature reviews genetics,2356
377,cretaceous research,pnas,2355
378,molecular and cellular biology,the embo journal,2355
379,palaeontologia electronica,plos one,2353
380,american journal of human genetics,nature,2353
381,historical biology an international journal of paleobiology,paleontological journal,2353
382,acta palaeontologica polonica,journal of systematic palaeontology,2352
383,physical review a,physical review letters,2351
384,journal of bacteriology,pnas,2350
385,annals of internal medicine,the cochrane database of systematic reviews,2344
386,febs letters,pnas,2342
387,journal of paleontology,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,2340
388,plos genetics,pnas,2327
389,genome res,nucleic acids res,2323
390,biochemistry,biochemistry,2321
391,nature,plos genetics,2318
392,genome biology,nature,2314
393,paleontological journal,peerj,2309
394,molecular biology and evolution,science,2300
395,alcheringa an australasian journal of palaeontology,paleontological journal,2298
396,palaeogeography palaeoclimatology palaeoecology,science,2294
397,current biology,journal of biological chemistry,2294
398,cretaceous research,fossil record,2291
399,cell,mol cell biol,2289
400,historical biology an international journal of paleobiology,palaeogeography palaeoclimatology palaeoecology,2280
401,historical biology an international journal of paleobiology,historical biology an international journal of paleobiology,2274
402,nature geoscience,science,2273
403,cell,genome res,2271
404,peerj,zootaxa,2264
405,hearing research,the journal of the acoustical society of america,2261
406,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,paleontological journal,2260
407,gxe9otechnique,gxe9otechnique,2249
408,pnas,science advances,2246
409,journal of paleontology,nature communications,2245
410,nature,science advances,2240
411,plos biology,pnas,2233
412,palaeontologia electronica,scientific reports,2231
413,nature,palaeogeography palaeoclimatology palaeoecology,2224
414,journal of vertebrate paleontology,nature communications,2221
