,journal1,journal2,weight
7720,international journal of plant sciences,zootaxa,219
7721,monthly notices of the royal astronomical society,nature astronomy,219
7722,copeia,pnas,219
7723,nat struct biol,pnas,219
7724,cancer res,proc natl acad sci u s a,219
7725,naturwissenschaften,vertebrata palasiatica,219
7726,palaeontology,swiss journal of palaeontology,219
7727,pnas,science signaling,219
7728,bmc bioinformatics,cell,219
7729,functional ecology,nature,218
7730,nature,viruses,218
7731,ameghiniana,paleobiology,218
7732,gff,plos one,218
7733,bmc public health,the cochrane database of systematic reviews,218
7734,ecology,plant and soil,218
7735,journal of the national cancer institute,nature,218
7736,food and chemical toxicology,nature,218
7737,paleobios,plos one,218
7738,caucasian entomological bulletin,paleontological journal,218
7739,journal of psychopharmacology,the cochrane database of systematic reviews,218
7740,evolution and human behavior,plos one,218
7741,cell,cell death and differentiation,218
7742,ieee transactions on magnetics,ieee transactions on magnetics,218
7743,emu,ibis,218
7744,annals of botany,botanical journal of the linnean society,218
7745,environmental biology of fishes,journal of fish biology,218
7746,comptes rendus palevol,nature ecology  evolution,218
7747,headache,neurology,218
7748,bioinformatics,journal of computational biology,218
7749,the plant cell,the plant journal,218
7750,cerebral cortex,plos one,218
7751,international journal of play therapy,professional school counseling,218
7752,international journal of cancer,the new england journal of medicine,218
7753,chem commun,j am chem soc,218
7754,antarctic science,journal of vertebrate paleontology,218
7755,journal of chemical education,science,218
7756,the new yorker,variety,218
7757,earth and planetary science letters,precambrian research,218
7758,sci rep,science,218
7759,phys rev,physical review,218
7760,genomics,j virol,218
7761,monthly notices of the royal astronomical society,pnas,218
7762,journal of biological chemistry,the journal of general physiology,218
7763,the cochrane database of systematic reviews,the journal of rheumatology,218
7764,canadian monarchist news,canadian monarchist news,218
7765,mammalian genome,pnas,218
7766,american psychologist,pnas,218
7767,nature,nature microbiology,218
7768,bmc evolutionary biology,forensic science international genetics,218
7769,journal of biological chemistry,the journal of histochemistry and cytochemistry,218
7770,frontiers in ecology and evolution,journal of systematic palaeontology,218
7771,nature,trends in molecular medicine,218
7772,blood,nucleic acids research,218
7773,behavioral ecology and sociobiology,journal of theoretical biology,217
7774,journal of applied physiology,journal of biological chemistry,217
7775,blood,molecular cell,217
7776,cell res,journal of biological chemistry,217
7777,journal of south american earth sciences,quaternary science reviews,217
7778,developmental dynamics,nature,217
7779,copeia,plos one,217
7780,animal cognition,journal of comparative psychology,217
7781,hippocampus,the journal of neuroscience,217
7782,die bundesbahn,eisenbahntechnische rundschau,217
7783,cell stem cell,development,217
7784,journal of paleontology,proceedings of the royal society b,217
7785,ecology and evolution,plos one,217
7786,bmj,cmaj,217
7787,proceedings of the royal society a,proceedings of the royal society a,217
7788,physics of plasmas,physics of plasmas,217
7789,j neurophysiol,j neurophysiol,217
7790,bmc evolutionary biology,zookeys,217
7791,proc natl acad sci u s a,trans amer math soc,217
7792,biographical memoirs of fellows of the royal society,mycologia,217
7793,bahxe1u02bcxed news,occasional papers in shaykhi babi and bahai studies,217
7794,applied physics letters,pnas,217
7795,journal of the american chemical society,organic syntheses,217
7796,review of palaeobotany and palynology,taxon,217
7797,geology,global and planetary change,217
7798,bmc evolutionary biology,review of palaeobotany and palynology,217
7799,acta geologica polonica,acta palaeontologica polonica,217
7800,experimental cell research,molecular cell,217
7801,dipterists digest,dipterists digest,217
7802,journal of the american academy of dermatology,lancet,217
7803,american journal of epidemiology,the new england journal of medicine,217
7804,bollettino dei musei di zoologia ed anatomia comparata della reale universitxe0 di torino,bollettino della societxe0 malacologica italiana,217
7805,journal of immunology,the journal of cell biology,217
7806,plos genetics,trends in genetics,217
7807,racing calendar,the sporting magazine,217
7808,archives of biochemistry and biophysics,the biochemical journal,216
7809,american journal of primatology,science,216
7810,pure and applied chemistry,science,216
7811,journal of biological chemistry,nature reviews genetics,216
7812,obstetrics  gynecology,obstetrics  gynecology,216
7813,mol syst biol,nat genet,216
7814,annual review of earth and planetary sciences,earth and planetary science letters,216
7815,fems microbiology letters,journal of biological chemistry,216
7816,american journal of human genetics,biochemistry,216
7817,the economic journal,the economic journal,216
7818,bulletin of geosciences,palxe4ontologische zeitschrift,216
7819,archives of disease in childhood,pediatrics,216
7820,animal behaviour,journal of animal ecology,216
7821,human molecular genetics,the journal of neuroscience,216
7822,nature materials,nature materials,216
7823,bulletin of the american astronomical society,science,216
7824,mol microbiol,nature,216
7825,doctor who poster magazine,marvel usa,216
7826,world journal of gastroenterology,world journal of gastroenterology,216
7827,current biology,developmental cell,216
7828,annals of internal medicine,pediatrics,216
7829,annals of eugenics,proceedings of the royal society b,216
7830,aj,the astronomical journal,216
7831,gsa bulletin,nature,216
7832,acta neuropathologica,pnas,216
7833,british medical journal,science,216
7834,frontiers in psychology,plos one,216
7835,geological bulletin of china,zootaxa,216
7836,annalen des naturhistorischen museums in wien serie a,cretaceous research,216
7837,astronomische nachrichten,the astronomical journal,216
7838,russian entomological journal,systematic entomology,216
7839,nature,new mexico museum of natural history and science bulletin,216
7840,j cell biol,mol cell,216
7841,comptes rendus palevol,the anatomical record,216
7842,blood,stem cells,216
7843,biochemical and biophysical research communications,neuron,215
7844,nucleic acids research,rna biology,215
7845,europeasia studies,the american historical review,215
7846,journal of experimental psychology learning memory and cognition,memory  cognition,215
7847,american journal of medical genetics,nature genetics,215
7848,nature physics,physical review a,215
7849,american journal of botany,historical biology an international journal of paleobiology,215
7850,cell,j exp med,215
7851,annual review of biochemistry,the embo journal,215
7852,far eastern entomologist,palaeoentomology,215
7853,molecular ecology,trends in ecology  evolution,215
7854,contribuciones del museo argentino de ciencias naturales bernardino rivadavia,cretaceous research,215
7855,pharmacology  therapeutics,the cochrane database of systematic reviews,215
7856,the american journal of medicine,the new england journal of medicine,215
7857,q,uncut,215
7858,origins of life and evolution of biospheres,science,215
7859,cell,the american journal of pathology,215
7860,cell signal,pnas,215
7861,journal of applied physiology,journal of gravitational physiology  a journal of the international society for gravitational physiology,215
7862,neuron,the journal of cell biology,215
7863,philos trans r soc lond b biol sci,science,215
7864,genome biology,scientific reports,215
7865,forensic science international genetics,nature,215
7866,astrophysical journal supplement series,the astrophysical journal,215
7867,biology letters,comptes rendus palevol,215
7868,cytogenet cell genet,gene,215
7869,neotropical ichthyology,zootaxa,215
7870,personality and individual differences,psychological assessment,215
7871,nature,proc r soc lond,215
7872,journal of hypertension,the cochrane database of systematic reviews,215
7873,biosystems,pnas,215
7874,facets,peerj,215
7875,neurosci lett,pnas,215
7876,acta psychiatrica scandinavica,the american journal of psychiatry,215
7877,journal of the royal society of medicine,the cochrane database of systematic reviews,215
7878,geosciences,paleontological journal,215
7879,british journal of audiology,the journal of the acoustical society of america,215
7880,biological psychiatry,psychological medicine,215
7881,ameghiniana,papers in palaeontology,215
7882,palaeodiversity,palaeontology,215
7883,annales zoologici,journal of paleontology,215
7884,evolution and human behavior,pnas,215
7885,brain res,j neurosci,215
7886,brain res,nature,214
7887,neuropharmacology,the journal of neuroscience,214
7888,genetics,trends in genetics,214
7889,pnas,world archaeology,214
7890,bioinformatics,nature communications,214
7891,royal society open science,the science of nature,214
7892,palaeoentomology,palaeogeography palaeoclimatology palaeoecology,214
7893,advanced functional materials,nano letters,214
7894,applied psychophysiology and biofeedback,applied psychophysiology and biofeedback,214
7895,biochemical and biophysical research communications,journal of biochemistry,214
7896,nature communications,quaternary international,214
7897,acta zoologica cracoviensia,cretaceous research,214
7898,journal of the american chemical society,synlett,214
7899,cancer research,development,214
7900,bulletin of the atomic scientists,nature,214
7901,hum genet,mol cell biol,214
7902,expert review of respiratory medicine,the cochrane database of systematic reviews,214
7903,geodiversitas,journal of south american earth sciences,214
7904,journal of the national cancer institute,the cochrane database of systematic reviews,214
7905,hearing research,journal of the association for research in otolaryngology,214
7906,biology and fertility of soils,plant and soil,214
7907,british journal of cancer,nature,214
7908,journal of neurosurgery,journal of neurosurgery,214
7909,current biology,geological magazine,214
7910,planta,pnas,214
7911,mathematische annalen,mathematische annalen,214
7912,cell,the cochrane database of systematic reviews,214
7913,integrative and comparative biology,scientific reports,214
7914,palaeontology,revue de palxe9obiologie genxe8ve,214
7915,cell,neuroscience,214
7916,current biology,palaeobiodiversity and palaeoenvironments,214
7917,genome biology and evolution,plos genetics,214
7918,geologica belgica,zootaxa,214
7919,palaeobiodiversity and palaeoenvironments,zootaxa,214
7920,genes dev,proc natl acad sci u s a,214
7921,biology letters,journal of experimental biology,214
7922,genetics,journal of bacteriology,214
7923,biomaterials,science,214
7924,journal of molecular biology,trends in biochemical sciences,214
7925,international journal of epidemiology,lancet,214
7926,acc chem res,j am chem soc,214
7927,the journal of cell biology,trends in cell biology,214
7928,j invest dermatol,j invest dermatol,214
7929,cdsadc collection of electronic catalogues,the astronomical journal,214
7930,journal of acquired immune deficiency syndromes,journal of virology,213
7931,acta geologica sinica english edition,american journal of botany,213
7932,science,the lancet infectious diseases,213
7933,palaeodiversity,palaeontologia electronica,213
7934,historical biology an international journal of paleobiology,journal of the botanical research institute of texas,213
7935,chemical geology,geology,213
7936,journal of neurophysiology,journal of neuroscience,213
7937,european journal of neurology,neurology,213
7938,annales zoologici,historical biology an international journal of paleobiology,213
7939,angew chem int ed,science,213
7940,intelligence,psychological review,213
7941,journal of experimental psychology general,psychological science,213
7942,movement disorders,movement disorders,213
7943,nucleic acids research,plos biology,213
7944,bioorganic  medicinal chemistry letters,the journal of pharmacology and experimental therapeutics,213
7945,molecular psychiatry,the american journal of psychiatry,213
7946,cladistics,science,213
7947,the cochrane database of systematic reviews,the journal of clinical endocrinology and metabolism,213
7948,journal of biological chemistry,mutat res,213
7949,nature materials,pnas,213
7950,journal of biological chemistry,progress in lipid research,213
7951,pnas,tissue antigens,213
7952,sitzungsberichte der gesellschaft naturforschender freunde zu berlin,zeitschrift der deutschen geologischen gesellschaft,213
7953,journal of the american board of family medicine,the cochrane database of systematic reviews,213
7954,bioessays,nucleic acids research,213
7955,american journal of medical genetics,human molecular genetics,213
7956,review of palaeobotany and palynology,science advances,213
7957,biological conservation,oryx,213
7958,peerj,spanish journal of palaeontology,213
7959,acs nano,nanoscale,213
7960,cahiers du monde russe,cahiers du monde russe,213
7961,journal of comparative psychology,journal of comparative psychology,213
7962,far eastern entomologist,journal of systematic palaeontology,213
7963,biochimica et biophysica acta,current biology,213
7964,annual review of astronomy and astrophysics,science,213
7965,neuron,neuropharmacology,213
7966,biochemistry,j am chem soc,213
7967,trends in cognitive sciences,trends in cognitive sciences,213
7968,american naturalist,ecology,213
7969,sleep,sleep medicine,213
7970,j chem phys,science,213
7971,angewandte chemie,angewandte chemie,213
7972,evolution and human behavior,nature,213
7973,canadian journal of earth sciences,royal society open science,213
7974,immunological reviews,science,212
7975,journal of ecology,nature,212
7976,current opinion in neurology,the cochrane database of systematic reviews,212
7977,drug discovery today,journal of biological chemistry,212
7978,blood,nature medicine,212
7979,circulation research,journal of molecular biology,212
7980,european journal of applied physiology,journal of applied physiology,212
7981,international journal of legal medicine,molecular biology and evolution,212
7982,invest ophthalmol vis sci,pnas,212
7983,genetics,journal of molecular biology,212
7984,peptides,pnas,212
7985,palaeogeography palaeoclimatology palaeoecology,revista brasileira de paleontologia,212
7986,precambrian research,science advances,212
7987,cmaj,jama,212
7988,current opinion in neurology,neurology,212
7989,journal of experimental psychology human perception and performance,perception  psychophysics,212
7990,current opinion in cell biology,the journal of cell biology,212
7991,angewandte chemie international edition,tetrahedron,212
7992,psychoneuroendocrinology,science,212
7993,journal of biological chemistry,nature methods,212
7994,anais da academia brasileira de cixeancias,pnas,212
7995,science,the journal of physical chemistry letters,212
7996,development,human molecular genetics,212
7997,journal of alzheimers disease,the cochrane database of systematic reviews,212
7998,biological psychiatry,psychopharmacology,212
7999,fossil record,palaeogeography palaeoclimatology palaeoecology,212
8000,wwwuniprotorg,wwwuniprotorg,212
8001,journal of molecular evolution,nucleic acids research,212
8002,genomics,nat biotechnol,212
8003,cochrane database of systematic reviews,pnas,212
8004,journal of paleontology,memoirs of the association of australasian palaeontologists,212
8005,pharmacol rev,pnas,212
8006,otolaryngologyu2013head and neck surgery,the cochrane database of systematic reviews,212
8007,science,the holocene,212
8008,latin american journal of aquatic mammals,reports of the international whaling commission,212
8009,am j hum genet,the american journal of human genetics,212
8010,lancet,schizophrenia bulletin,211
8011,canadian journal of earth sciences,papers in palaeontology,211
8012,brooklyn daily eagle,new york times,211
8013,bmc evolutionary biology,nature ecology  evolution,211
8014,hippocampus,hippocampus,211
8015,american journal of human biology,forensic science international,211
8016,anesth analg,anesthesiology,211
8017,international journal of clinical practice,the cochrane database of systematic reviews,211
8018,journal of personality and social psychology,social psychology quarterly,211
8019,cretaceous research,journal of morphology,211
8020,palaeontologia africana,peerj,211
8021,journal of clinical investigation,science,211
8022,schizophrenia bulletin,the american journal of psychiatry,211
8023,ageing research reviews,nature,211
8024,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,russian entomological journal,211
8025,hepatology,nature,211
8026,bipolar disorders,journal of affective disorders,211
8027,evolution,journal of vertebrate paleontology,211
8028,gaia,journal of vertebrate paleontology,211
8029,genomics,human genetics,211
8030,nature,neues jahrbuch fxfcr geologie und palxe4ontologie abhandlungen,211
8031,am j hum genet,j med genet,211
8032,acta geologica polonica,palaeogeography palaeoclimatology palaeoecology,211
8033,bulletins of american paleontology,journal of paleontology,211
8034,am j obstet gynecol,maturitas,211
8035,evolution international journal of organic evolution,plos genetics,211
8036,nature,psychoneuroendocrinology,211
8037,current pharmaceutical design,nature,211
8038,journal of crustacean biology,journal of crustacean biology,211
8039,frontiers in earth science,scientific reports,211
8040,communications of the geological survey of namibia,pnas,211
8041,journal of paleontology,novitates paleoentomologicae,211
8042,breast cancer research,journal of biological chemistry,211
8043,ear and hearing,international journal of audiology,211
8044,j physiol,pnas,211
8045,harvard law review,harvard law review,211
8046,acs nano,pnas,211
8047,genes cells,mol cell biol,211
8048,annalen des naturhistorischen museums in wien serie a,paleontological journal,211
8049,geology,zootaxa,211
8050,journal of the american society of nephrology,pnas,211
8051,journal of phycology,journal of phycology,211
8052,frontiers in earth science,historical biology an international journal of paleobiology,211
8053,molecular cell,scientific reports,211
8054,nature,protein sci,211
8055,journal of biological chemistry,the american journal of clinical nutrition,211
8056,hearing research,pnas,211
8057,acta geologica sinica,palaeontology,211
8058,geobios,geodiversitas,211
8059,cognition,trends in cognitive sciences,211
8060,evolution,molecular phylogenetics and evolution,211
8061,sociobiology,zootaxa,210
8062,oncogene,the journal of experimental medicine,210
8063,geology,journal of geophysical research solid earth,210
8064,journal of neuroscience,the journal of neuroscience,210
8065,journal of medicinal chemistry,journal of the american chemical society,210
8066,comptes rendus palevol,palaeobiodiversity and palaeoenvironments,210
8067,sporting magazine,sporting magazine,210
8068,cretaceous research,frontiers in earth science,210
8069,journal of biological chemistry,the european journal of neuroscience,210
8070,european urology,urology,210
8071,cell,cytogenetics and cell genetics,210
8072,journal of zoology,mammalian species,210
8073,am j hum genet,mol cell biol,210
8074,international journal of systematic and evolutionary microbiology,science,210
8075,the journal of economic history,the journal of modern history,210
8076,bollettino della societxe0 paleontologica italiana,peerj,210
8077,am j hum genet,eur j hum genet,210
8078,counselor education and supervision,journal of counseling  development,210
8079,pnas,viruses,210
8080,geoderma,plant physiology,210
8081,technology and culture,the slavonic and east european review,210
8082,lethaia,papers in palaeontology,210
8083,folklore,proceedings of the cotteswold naturalists field club,210
8084,the festivus,zookeys,210
8085,c r acad sci,c r acad sci,210
8086,american journal of human genetics,blood,210
8087,american journal of public health,plos one,210
8088,historical biology an international journal of paleobiology,molecular phylogenetics and evolution,210
8089,mamaindxea grammar,mamaindxea grammar,210
8090,j clin endocrinol metab,nat genet,210
8091,nature,palaeontologia africana,210
8092,exp cell res,oncogene,210
8093,handes amsorya,handes amsorya,210
8094,journal of avian biology,the auk,210
8095,current pharmaceutical design,pnas,210
8096,eur j pharmacol,neuropharmacology,210
8097,ann neurol,brain,210
8098,earth and planetary science letters,geophysical journal international,210
8099,journal of the american college of cardiology,the new england journal of medicine,210
8100,anal biochem,nature,210
8101,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,the nautilus,210
8102,herpetologica,zootaxa,210
8103,brain,journal of neurology neurosurgery and psychiatry,210
8104,cell,dev biol,210
8105,science,soil biology and biochemistry,210
8106,rna biology,science,210
8107,jama,journal of biological chemistry,210
8108,jama the journal of the american medical association,lancet,210
8109,cretaceous research,geological bulletin of china,210
8110,acta palaeontologica polonica,journal of morphology,210
8111,phys rev,physical review letters,210
8112,journal of the royal society interface,scientific reports,210
8113,j a s beng,j a s beng,210
8114,memoirs of the national museum of victoria,zootaxa,210
8115,journal of vertebrate paleontology,micropaleontology,210
8116,foreign affairs,political science quarterly,209
8117,bmj,mayo clinic proceedings,209
8118,american museum novitates,canadian journal of earth sciences,209
8119,frontiers in immunology,science,209
8120,botanical journal of the linnean society,nature,209
8121,alimentary pharmacology  therapeutics,the american journal of gastroenterology,209
8122,aids,the cochrane database of systematic reviews,209
8123,cell,cytogenet cell genet,209
8124,functional ecology,science,209
8125,journal of experimental biology,journal of zoology,209
8126,journal of virology,scientific reports,209
8127,ann intern med,jama,209
8128,head  neck,international journal of radiation oncologybiologyphysics,209
8129,epl,physical review letters,209
8130,animus,dionysius,209
8131,philadelphia business journal,philadelphia business journal,209
8132,epilepsia,lancet,209
8133,antimicrobial agents and chemotherapy,plos one,209
8134,journal of morphology,nature communications,209
8135,nutrients,the american journal of clinical nutrition,209
8136,personality and individual differences,personality and social psychology bulletin,209
8137,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,new mexico museum of natural history and science bulletin,209
8138,journal of counseling  development,journal of school counseling,209
8139,international journal of plant sciences,palz,209
8140,american political science review,russian review,209
8141,journal of quaternary science,quaternary international,209
8142,neuron,trends in cognitive sciences,209
8143,journal of asian earth sciences,scientific reports,209
8144,neues jahrbuch fxfcr geologie und palxe4ontologie  abhandlungen,proceedings of the geologists association,209
8145,behavioral ecology and sociobiology,biology letters,209
8146,palaeogeography palaeoclimatology palaeoecology,proceedings of the geologists association,209
8147,fossil imprint,plos one,209
8148,life,popular photography,209
8149,archives of general psychiatry,jama,209
8150,biochim biophys acta,cancer res,209
8151,journal of biological chemistry,trends in pharmacological sciences,209
8152,immunological reviews,pnas,209
8153,cretaceous research,giornale italiano di entomologia,209
8154,nature reviews genetics,plos biology,208
8155,cell,journal of cellular physiology,208
8156,palaeobiodiversity and palaeoenvironments,vertebrata palasiatica,208
8157,physical review d,scientific american,208
8158,british journal of cancer,cancer research,208
8159,annual review of immunology,science,208
8160,european journal of entomology,paleontological journal,208
8161,academy of management review,journal of applied psychology,208
8162,genomics,journal of molecular biology,208
8163,annales de la socixe9txe9 entomologique de france,paleontological journal,208
8164,mol biol cell,mol biol cell,208
8165,boletxedn de la sociedad geolxf3gica mexicana,scientific reports,208
8166,annual review of cell and developmental biology,journal of biological chemistry,208
8167,annual review of physiology,nature,208
8168,integrative and comparative biology,journal of vertebrate paleontology,208
8169,otolaryngologyu2013head and neck surgery,the laryngoscope,208
8170,proceedings of the royal society b,zoological journal of the linnean society,208
8171,annual review of neuroscience,neuron,208
8172,journal of high energy physics,physical review,208
8173,j mol biol,protein sci,208
8174,aesthetic plastic surgery,plastic and reconstructive surgery,208
8175,journal of biomolecular nmr,journal of biomolecular nmr,208
8176,peerj,systematic biology,208
8177,central european history,slavic review,208
8178,personality and social psychology bulletin,psychological review,208
8179,the polish review,the slavonic and east european review,208
8180,proceedings of the royal society b biological sciences,trends in ecology  evolution,208
8181,pnas,seminars in cell  developmental biology,208
8182,earth and planetary science letters,plos one,208
8183,psychological medicine,the british journal of psychiatry,208
8184,american psychologist,personality and individual differences,208
8185,methods,science,208
8186,review of palaeobotany and palynology,revista brasileira de paleontologia,208
8187,nature communications,optics express,208
8188,ecology,evolution,208
8189,brain research,plos one,208
8190,journal of geophysical research,space science reviews,208
8191,j mol med,journal of biological chemistry,208
8192,acta neuropathologica,nature,208
8193,annales de palxe9ontologie,papers in palaeontology,208
8194,cladistics,nature,208
8195,cancer research,human molecular genetics,208
8196,jama,journal of clinical oncology,208
8197,the cochrane database of systematic reviews,the journal of nutrition,208
8198,molecular and cellular biology,the journal of experimental medicine,207
8199,cancer,journal of the national cancer institute,207
8200,nature,neuroscience and biobehavioral reviews,207
8201,current biology,molecular biology of the cell,207
8202,phytopathology,phytopathology,207
8203,journal of systematic palaeontology,nature geoscience,207
8204,journal of vertebrate paleontology,science reports of niigata university geology,207
8205,journal of experimental psychology learning memory and cognition,psychological science,207
8206,neuropsychopharmacology,the cochrane database of systematic reviews,207
8207,genes chromosomes cancer,journal of biological chemistry,207
8208,journal of south american earth sciences,quaternary international,207
8209,jama,spine,207
8210,alcheringa an australasian journal of palaeontology,precambrian research,207
8211,biogeosciences,science,207
8212,developmental psychology,science,207
8213,dna research,nature genetics,207
8214,animal behaviour,primates,207
8215,science,the journal of nutrition,207
8216,journal of biological chemistry,the journal of pathology,207
8217,journal of biological chemistry,phytochemistry,207
8218,earth and environmental science transactions of the royal society of edinburgh,systematic entomology,207
8219,journal of materials chemistry,journal of the american chemical society,207
8220,ethnomusicology,ethnomusicology,207
8221,chiropractic  osteopathy,journal of manipulative and physiological therapeutics,207
8222,j histochem cytochem,journal of biological chemistry,207
8223,lithos,precambrian research,207
8224,biological reviews,current biology,207
8225,journal of personality and social psychology,self and identity,207
8226,current biology,philosophical transactions of the royal society b biological sciences,207
8227,comptes rendus geoscience,quaternary science reviews,207
8228,nat cell biol,nat genet,207
8229,current opinion in psychiatry,the cochrane database of systematic reviews,207
8230,biochemistry,human molecular genetics,207
8231,acta palaeontologica polonica,bulletin of the peabody museum of natural history,207
8232,immunity,oncogene,207
8233,geology,journal of african earth sciences,207
8234,neurobiology of aging,pnas,207
8235,american journal of public health,science,207
8236,ameghiniana,quaternary international,207
8237,journal of political economy,the american economic review,207
8238,journal of biological chemistry,mol vis,207
8239,plant physiology,the plant journal,207
8240,annales zoologici,zookeys,207
8241,apj,the astrophysical journal,207
8242,eur j pharmacol,pnas,207
8243,booklist,publishers weekly,207
8244,mol cell biol,mol syst biol,207
8245,jama pediatrics,the cochrane database of systematic reviews,207
8246,journal of biological chemistry,the plant cell,207
8247,nature,retrovirology,207
8248,journal of comparative psychology,nature,207
8249,annals of emergency medicine,lancet,207
8250,human molecular genetics,the journal of clinical investigation,207
8251,chemistry u2013 a european journal,journal of the american chemical society,207
8252,methods,pnas,206
8253,mycologia,mycorrhiza,206
8254,journal of neuroscience,plos one,206
8255,annals of neurology,annals of neurology,206
8256,anais da academia brasileira de cixeancias,vertebrata palasiatica,206
8257,american journal of botany,journal of the botanical research institute of texas,206
8258,journal of bacteriology,trends in microbiology,206
8259,cephalalgia,the cochrane database of systematic reviews,206
8260,quaternary science reviews,vertebrata palasiatica,206
8261,neuroscience and biobehavioral reviews,the journal of neuroscience,206
8262,current opinion in plant biology,science,206
8263,chemical society reviews,chemical society reviews,206
8264,genome res,j neurosci,206
8265,journal of biological chemistry,physiol rev,206
8266,the lancet infectious diseases,the new england journal of medicine,206
8267,j cell biol,j mol biol,206
8268,professional school counseling,virginia counselors journal,206
8269,appl phys lett,science,206
8270,annals of oncology,the cochrane database of systematic reviews,206
8271,folia primatologica,international journal of primatology,206
8272,alcheringa an australasian journal of palaeontology,the science of nature,206
8273,insectes sociaux,naturwissenschaften,206
8274,international microbiology,nature,206
8275,international journal of primatology,pnas,206
8276,genome biology and evolution,genome biology and evolution,206
8277,biology letters,bmc evolutionary biology,206
8278,journal of clinical microbiology,lancet,206
8279,nat methods,pnas,206
8280,genes  development,rna,206
8281,ameghiniana,palaeoworld,206
8282,journal of cetacean research and management,journal of the acoustical society of america,206
8283,estonian journal of earth sciences,journal of paleontology,206
8284,infect immun,infect immun,206
8285,clin cancer res,nature,206
8286,conservation biology,ecology,206
8287,journal of fish biology,nature,206
8288,journal of micropalaeontology,scientific reports,206
8289,physical review letters,rev mod phys,206
8290,current psychiatry reports,the american journal of psychiatry,206
8291,acta geologica sinica,acta palaeontologica polonica,206
8292,developmental dynamics,pnas,206
8293,j cell biochem,nature,206
8294,applied and environmental microbiology,journal of biological chemistry,206
8295,american journal of botany,annals of the missouri botanical garden,206
8296,febs letters,the journal of clinical investigation,206
8297,american political science review,the slavonic and east european review,206
8298,horm res,j clin endocrinol metab,206
8299,biotechnology advances,nature,206
8300,molecular pharmacology,the journal of neuroscience,206
8301,journal of materials chemistry,nature,206
8302,blood,j clin oncol,205
8303,am j obstet gynecol,obstet gynecol,205
8304,journal of insect physiology,pnas,205
8305,dna res,oncogene,205
8306,philosophical transactions of the royal society b,plos one,205
8307,infection and immunity,plos one,205
8308,nature cell biology,nature cell biology,205
8309,insectes sociaux,proceedings of the royal society b biological sciences,205
8310,british journal of pharmacology,neuropharmacology,205
8311,russian review,the international history review,205
8312,reports on progress in physics,science,205
8313,circulation,stroke,205
8314,geophysical research letters,plos one,205
8315,journal of applied psychology,journal of management,205
8316,j med chem,j med chem,205
8317,current biology,lethaia,205
8318,annual review of psychology,science,205
8319,peerj,revue de palxe9obiologie genxe8ve,205
8320,international journal of radiation oncologybiologyphysics,radiotherapy and oncology,205
8321,blood,transfusion,205
8322,pnas,revista brasileira de paleontologia,205
8323,journal of mammalogy,journal of vertebrate paleontology,205
8324,bmc genetics,nature,205
8325,genesis,nature,205
8326,cladistics,pnas,205
8327,frontiers in psychology,journal of personality and social psychology,205
8328,embo rep,nat genet,205
8329,autocar,autocar,205
8330,archives of general psychiatry,schizophrenia bulletin,205
8331,plos pathogens,plos pathogens,205
8332,feminist economics,world development,205
8333,journal of consumer research,journal of personality and social psychology,205
8334,ecology,journal of animal ecology,205
8335,cancer,the new england journal of medicine,205
8336,biochimie,cell,205
8337,neuroreport,the journal of the acoustical society of america,205
8338,systematic biology,zoological journal of the linnean society,205
8339,biochimica et biophysica acta,genes  development,205
8340,bulletin of geosciences,royal society open science,205
8341,j neurosci,nat neurosci,205
8342,journal of neurology,the cochrane database of systematic reviews,205
8343,journal of proteome research,nature,205
8344,mycotaxon,sydowia,205
8345,nature genetics,the journal of clinical investigation,205
8346,bmc evolutionary biology,genome research,205
8347,geological journal,palaeogeography palaeoclimatology palaeoecology,204
8348,acta geologica sinica  english edition,journal of vertebrate paleontology,204
8349,journal of biological chemistry,toxicology and applied pharmacology,204
8350,nature,scientometrics,204
8351,science,the american journal of psychiatry,204
8352,cern courier,cern courier,204
8353,journal of personality and social psychology,social and personality psychology compass,204
8354,dna repair,pnas,204
8355,gut,science,204
8356,current biology,proceedings of the royal society b,204
8357,science,zookeys,204
8358,physical review d,physics today,204
8359,circulation,nature reviews cardiology,204
8360,abc spain,el paxeds,204
8361,cytogenet cell genet,embo j,204
8362,brain and language,the journal of neuroscience,204
8363,paleoceanography,quaternary science reviews,204
8364,journal of natural history,paleontological journal,204
8365,nature,phil mag,204
8366,journal of biblical literature,journal of biblical literature,204
8367,plos one,tobacco control,204
8368,journal of interdisciplinary history,the journal of modern history,204
8369,palaeoworld,vertebrata palasiatica,204
8370,geobiology,proceedings of the royal society b biological sciences,204
8371,micropaleontology,nature,204
8372,neuroscience and biobehavioral reviews,plos one,204
8373,br med j,british medical journal,204
8374,social science  medicine,social science  medicine,204
8375,palaeobiodiversity and palaeoenvironments,palaeoworld,204
8376,gondwana research,papers in palaeontology,204
8377,j am chem soc,p natl acad sci usa,204
8378,journal of evolutionary biology,journal of vertebrate paleontology,204
8379,angew chem int edit,j am chem soc,204
8380,paleoceanography,science,204
8381,multiple sclerosis,the cochrane database of systematic reviews,204
8382,crocodile specialist group newsletter,journal of the bombay natural history society,204
8383,pnas,trends in pharmacological sciences,204
8384,journal of geophysical research atmospheres,nature,204
